name,item,price,image
Plain dosa,dosa,10,plain dosa.jpg
Ghee dosa,dosa,10,ghee dosa.jpg
Onion dosa,dosa,10,onion dosa.jpg
Masala dosa,dosa,10,masala dosa.jpg
Podi dosa,dosa,10,podi dosa.jpg
Wheat dosa,dosa,10,masala dosa.jpg
Ragi dosa,dosa,10,ragi dosa.jpg
Millets dosa,dosa,10,millet dosa.jpg
Egg dosa,dosa,10,egg dosa.jpg
plain idli,idli,10,idli.jpg
podi idli,idli,10,podi idli.jpg
Chapathi,Chapathi,40,chapathi.jpg
Poori,Poori,10,poori.jpg
Pongal,Pongal,10,pongal.jpg
Rava Kichadi,Kichadi,40,rava kichadi.jpg
Samba rava Kichadi,Kichadi,10,samba rava kichadi.jpg
Ragi Semiya,Semiya,10,ragi semiya.jpg
